STDPL,SMSSL,LPFL,MedianSI,sacl,sacr,fixl,fixr,Class
0.706458683,1.137524141,1.828027,48.4645,5.961251863,5.826803295,5.893510364,10.77089825,0
0.702568842,1.107082714,1.889691,38.654737,26.72292546,13.2610006,26.52200121,31.14325899,1
0.698921695,1.075873911,1.923896,27.968998,20.62204192,18.13297515,20.28397566,35.15889114,1
1.006389816,1.557406764,2.668574282,6.824375,6.772009029,3.762227239,6.52119388,4.263857537,0
1.014350379,1.57284647,2.678924406,6.879444,6.090487239,8.120649652,5.800464037,8.990719258,0
0.981584845,1.518262489,2.643634711,5.218889,6.337558372,9.006004003,6.004002668,9.006004003,0
0.947094615,1.474826798,2.622271979,13.117369,7.038712921,8.044243338,6.535947712,8.044243338,0
1.022034071,1.6811217,2.742682874,28.754878,38.64872602,25.47953049,38.50558259,27.05410822,1
1.11136785,1.762063628,3.064896089,30.218462,30.45515395,22.75769746,30.12048193,35.47523427,1
1.263466187,1.991384378,3.372473414,18.605,18.54446001,17.14361951,18.47775332,22.61356814,1
0.943755475,1.482270717,2.522211299,4.28744,5.055611729,13.1445905,4.044489383,12.13346815,1
1.286280754,2.0187217,3.426783328,4.154595,7.432818754,6.003430532,7.289879931,5.86049171,1
1.253679563,1.971347747,3.553604232,4.87398,11.3399483,9.338780956,11.25656633,9.839072792,1
1.140585415,1.79068507,3.063586837,12.221034,12.06636501,15.58572147,11.5635998,15.08295626,1
1.214173391,1.90210274,3.28812842,4.102436,12.65822785,15.30421799,12.24989792,18.78317681,1
1.082814215,1.704301999,2.876857725,9.116888,10.02004008,9.733753221,9.87689665,9.590609791,1
1.072112717,1.687795761,2.878466,26.008182,54.86076372,32.34950809,54.69401367,32.68300817,0
1.156814467,1.836830896,3.117295,18.977778,51.02551276,23.67850592,50.85876271,26.84675671,0
1.050195541,1.649141352,2.80376,16.902735,38.69246164,22.84856571,38.52568379,25.35023349,0
1.043541539,1.655777212,2.795555,21.909343,27.01620973,20.11206724,26.91614969,21.91314789,0
0.966883564,1.595089539,2.569736,20.913355,38.08887404,17.54092883,37.92181757,24.22318744,0
