STDPL,SMSSL,LPFL,MedianSI,sacl,sacr,fixl,fixr,Class
0.706458683,1.137524141,1.82802736,49.3185,7.528442979,5.505418236,7.3646346,11.23264247,0
0.987354914,1.53083563,2.653351344,8.01001925,6.55969189,7.233281058,6.215402075,7.576206034,0
1.057909566,1.684926952,2.832962277,20.9422786,41.93676438,23.30591516,41.78328549,26.20326674,0
1.364831306,2.120465189,3.673532369,5.846828333,6.214594889,3.72645535,6.070066131,5.704794938,0
0.952527015,1.495051339,2.561194265,12.532682,14.98782034,5.575252985,14.86717004,13.65070313,0
1.004905984,1.581593865,2.68583362,14.80185367,12.73493953,4.306997438,12.58464875,13.71866249,0
1.155556274,1.794816715,3.104505065,7.088327,11.3338283,9.864231056,11.12081618,10.82885935,0
1.068594153,1.672584773,2.871536241,17.12084067,25.50885023,29.48940868,25.31260611,30.43598758,0
0.997523252,1.554821425,2.762955747,7.75765375,8.026165646,7.050216678,7.862711586,7.355788389,0
0.86655394,1.349139443,2.350035059,18.08792367,7.976757505,6.305151937,7.725731439,7.221731016,0
0.901660093,1.40392692,2.439939208,9.771493333,10.49378097,9.735113629,10.3458727,10.88825335,0
0.903889841,1.403503194,2.425857566,4.601533,2.775807699,3.795692446,2.56304832,3.62841242,0
1.063928433,1.655208615,2.86662679,10.89931267,16.40668146,20.90531344,16.29917084,29.1424311,0
0.700745268,1.091478312,1.906793654,57.68189975,26.58491573,12.54121064,26.04357792,29.46835816,1
1.14646188,1.81155552,3.081482402,14.2486158,16.7454921,15.1680422,16.36075948,17.46328884,1
1.254092883,2.001665875,3.385173716,30.20105433,34.23354571,23.86729128,33.66559195,26.88225612,1
1.401124813,2.194648939,3.784753385,7.342054,10.08158257,7.269942676,9.783458221,9.844914973,1
1.040266437,1.637843734,2.801202266,13.3001536,19.27478204,14.13996627,18.72682041,21.38807369,1
1.081412035,1.68686976,2.910297869,17.16687457,15.67150818,7.225738885,15.25300993,13.49941881,1
1.243438874,1.938630238,3.351216991,12.71216515,17.34932396,14.89335357,16.75304577,16.32541028,1
1.072974896,1.708303929,2.939804497,20.14046433,28.33814038,30.51299986,27.59152694,34.98618081,1
1.064422086,1.672613288,2.849584577,14.89160975,15.74449217,11.5909847,15.21581082,13.68359739,1
0.883455838,1.390249613,2.398226342,14.96063043,20.96570492,18.92865561,20.54023746,21.09121238,1
0.982144458,1.562181664,2.715723263,7.300665875,13.90932305,13.02349127,13.13280221,15.8564288,1
0.898970624,1.395452643,2.420158874,8.8834704,5.231827802,5.357927367,4.825109731,5.374897144,1
1.029106492,1.618103052,2.75711311,12.00368011,18.63402052,16.02934612,17.73130583,23.47910612,1
0.710301464,1.136674744,1.892823953,38.49964304,19.03267157,26.40825825,18.76754056,26.13359252,2
1.125246892,1.762574518,3.017363241,8.926707452,13.66362298,14.36442799,13.40959361,14.11033505,2
1.198580525,1.927650313,3.186411612,19.97606794,32.15249686,25.10268926,31.9015427,24.85141145,2
1.416355372,2.228323945,3.793430946,8.5747428,10.30855606,10.92994063,10.05740598,10.67722201,2
1.020935702,1.598102735,2.741396153,12.5787703,15.71689567,19.79969705,15.46574517,19.54816921,2
1.006872065,1.580756922,2.718788009,12.77060633,12.45813182,14.07103069,12.20711003,13.81824013,2
1.208431321,1.88370913,3.242137997,9.095729154,14.59311932,14.45574633,14.34203273,14.20468423,2
1.195654451,1.912149143,3.223653893,18.41534374,26.3409242,26.78559465,26.08644925,26.5320863,2
0.961310214,1.502531743,2.586979733,7.608855,9.240983825,8.248801612,8.987203922,7.995061106,2
0.864305866,1.356924619,2.317131414,15.13797513,17.44537882,16.38742901,17.1945228,16.13682247,2
0.938569011,1.476130868,2.518519731,10.57003538,12.16811602,13.85822902,11.91498774,13.60097344,2
0.948111167,1.483099359,2.560875272,8.984478,8.668120127,8.932632099,8.411122789,8.676135831,2
0.970891211,1.519744221,2.614107,14.54144765,18.07894022,23.6195851,17.82377002,23.36770305,2
